section,dataset,method,method_key,group,split_type,status,seeds,evidence,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,artifact_path,metrics_file,manifest_config,reason
RQ1,Quo Vadis,R-GCN,rgcn,graph,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8991624790619767,0.0009475467754593851,0.8474828429577235,0.017769603015565367,0.7388451443569554,0.020415156412209996,0.7889847017619712,0.003999268822654355,0.9395369101129565,0.004608087382680687,datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_17/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_27/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_7/metrics.json,datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_17/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_27/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,Transformer,transformer,sequence,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8760469011725293,0.0017082142424096373,0.8029290759228837,0.03286071504119926,0.6863517060367453,0.04070357590359797,0.7382606558132953,0.009863140395277435,0.9033236989101058,0.009796140744882068,datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ3,Quo Vadis,w/o graph view,wo_graph_view,ablation,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8241206030150753,0.011040038226656003,0.644928807648767,0.023716285901400267,0.6942257217847768,0.011289140770397128,0.6685434680973715,0.016916422309074017,0.8455906574431232,0.014848086769985284,datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_7/metrics.json,datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
RQ3,Quo Vadis,w/o interleaving prior in gating,wo_interleaving_prior_in_gating,ablation,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8539363484087102,0.0037002884479689388,0.7288698568574277,0.01602293032423223,0.6824146981627296,0.00982062306239878,0.7046460929751298,0.002472608858787379,0.867946415604932,0.003826638668739563,datasets_50k/quo_vadis/results/ablation/wo_interleaving_prior_in_gating/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_interleaving_prior_in_gating/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_interleaving_prior_in_gating/seed_7/metrics.json,datasets_50k/quo_vadis/results/ablation/wo_interleaving_prior_in_gating/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_interleaving_prior_in_gating/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_interleaving_prior_in_gating/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
RQ3,Quo Vadis,w/o preference loss,wo_preference_loss,ablation,leakage-safe group/exact-sequence-disjoint,single-seed,7,artifact/inventory,0.8331658291457287,,0.6654135338345865,,0.6968503937007874,,0.6807692307692308,,0.8415314482450826,,datasets_50k/quo_vadis/results/ablation/wo_preference_loss/seed_7/metrics.json,datasets_50k/quo_vadis/results/ablation/wo_preference_loss/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,incomplete three-seed ablation; available artifact retained but not aggregated into confirmatory table
RQ3,Quo Vadis,w/o relation features,wo_relation_features,ablation,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8582914572864322,0.0008205995788218115,0.758907303603619,0.02536476677972138,0.6561679790026247,0.043879930439108865,0.7020332046375017,0.015585321177096711,0.8735074613649002,0.005639743235200768,datasets_50k/quo_vadis/results/ablation/wo_relation_features/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_relation_features/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_relation_features/seed_7/metrics.json,datasets_50k/quo_vadis/results/ablation/wo_relation_features/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_relation_features/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_relation_features/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
RQ3,Quo Vadis,w/o semantic elements,wo_semantic_elements,ablation,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.826465661641541,0.017871998215543243,0.6452130209925412,0.04083577652549818,0.7230971128608924,0.010333343666682199,0.681012086521324,0.020357092611471443,0.8707304805522793,0.021605842533545985,datasets_50k/quo_vadis/results/ablation/wo_semantic_elements/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_semantic_elements/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_semantic_elements/seed_7/metrics.json,datasets_50k/quo_vadis/results/ablation/wo_semantic_elements/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_semantic_elements/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_semantic_elements/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
RQ3,Quo Vadis,w/o sequence view,wo_sequence_view,ablation,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.84321608040201,0.0021711024115269274,0.6952630963261446,0.009251616007972007,0.6876640419947506,0.018278724773207473,0.691200349253635,0.006484622275926789,0.8588769521218754,0.007302515873414091,datasets_50k/quo_vadis/results/ablation/wo_sequence_view/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_sequence_view/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_sequence_view/seed_7/metrics.json,datasets_50k/quo_vadis/results/ablation/wo_sequence_view/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_sequence_view/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_sequence_view/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
RQ3,Quo Vadis,w/o structural bias in attention,wo_structural_bias_in_attention,ablation,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8549413735343384,0.00637396904202358,0.7446716622917074,0.03686537377316462,0.6640419947506562,0.034372180718395776,0.7002641730797071,0.0026863136335722585,0.8591089575341543,0.009996956317961502,datasets_50k/quo_vadis/results/ablation/wo_structural_bias_in_attention/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_structural_bias_in_attention/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_structural_bias_in_attention/seed_7/metrics.json,datasets_50k/quo_vadis/results/ablation/wo_structural_bias_in_attention/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_structural_bias_in_attention/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_structural_bias_in_attention/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
RQ2,Quo Vadis / Zenodo 11079764,RQ2 held-out category/family runs,RQ2 held-out category/family runs,other,confirmatory required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,fold protocols exist but trained fold results are absent
